song,text,label
Meer Van Jou,"MEER VAN JOU (mijn lief)



Ik verwachtte je al lang

Het einde van de straat

Was zo ver weg

Maar liefste, toch was ik wel bang

Dat je niet zou komen

Of voorbij zou gaan aan mij

Dan droomde ik maar iets 

Dat echter was dan jij

 

Niets verandert

Niets trekt bij

Het verlangen zit erin

Wees dan hier met mij



Nu ik je kan zien

vraag ik

Meer van jou 

Kruip onder mijn huid en blijf daar

Meer van jou

In ruil voor dit gebroken lijf



Jij zag al waar ik stond

Het einde van de tijd

Was zo ver weg

En ik nam woorden in mijn mond

Die jou echt niets zeiden

Maar geluiden zijn zichzelf

En ze leiden je naar mij

Niet altijd maar ditmaal wel

 

Niets verandert

Niets trekt bij

Het verlangen zit erin

Wees dan hier met mij



Nu ik je kan zien

Ben ik 

Meer van jou

Kruip onder mijn huid en blijf daar

Meer van jou

In ruil voor dit gebroken lijf



Meer van jou

Kruip onder mijn huid en blijf daar

Meer van jou

In ruil voor dit gebroken lijf

Ik word meer van jou

Kruip onder mijn huid en blijf daar

Meer van jou

Met heel mijn ziel en zaligheid

Meer van jou!",blof
Dagen zonder namen,"Dit zijn dagen zonder namen

Dit is tijd maar zonder haast

Open deuren open ramen

Wij zijn vrij maar ook verbaasd



In een felgekleurde tuin onder de boom

Wonderen gebeuren altijd in een mooie droom

Maar ik droom nu niet



Dit zijn dagen zonder namen

Als twee bootjes van papier

In het water zonder richting

Kijk het licht veranderd hier



Maar langzaam aan onder de takken van de boom

Heel voorzichtig zakt de zon weer weg als in een droom

Maar ik droom nu niet



En jij droomt ook niet



Deze dagen zonder namen

Staan in mijn herinnering

Los van plaatsen en seizoenen

Als een heel bijzonder ding",blof
Hou vol hou vast,"Ik zie ook wel in dat alles anders gaat dan hoe je het wilt,

Of hoe je het had gedacht

En ik begrijp ook best dat jij het niet meer weet hoe het nu is,

Is niet wat jij verwachtte

Dus adem in en tel tot tien of elf en verder



Hou vol hou vast

Er is altijd nog m'n arm die om je heen past

En altijd nog m'n schouder die je recht houdt

Al is het maar voor even



Het is geen geheim dat bijna iedereen vooral  naar zichzelf 

en niet naar een ander kijkt.

En ik begrijp ook best dat dat natuurlijk lijkt als jij nu maar weet dat je

veel meer kunt bereiken

Dus adem in en tel tot tien of elf en verder



Hou vol hou vast

Er is altijd nog m'n arm die om je heen past

En altijd nog m'n schouder die je recht houdt

Al is het maar voor even



Hou vol hou vast

Er is altijd nog m'n hand die jouwe schoon wast

Al is het maar voor even

Al is het maar voor even



Hou vol hou vast

Er is altijd nog m'n arm die om je heen past

En altijd nog m'n schouder die je recht houdt

Al is het maar voor even



Hou vol hou vast

Er is altijd nog m'n hand die alles schoon wast

Al is het maar voor even

Al is het maar voor even



Hou vol hou vast

Hou vol hou vast

Hou vol hou vast

Hou vol hou vast",blof
Einde,"Mijn woord viel met een klap in duizend stukken

Van vierhoog naar beneden, zo op straat

De stenen waren harder dan mijn zinnen

En binnen hing de geur van hoogverraad



refr.:

    Dit is het einde

    Dit is het einde

    Dit is het einde

    Dit is het einde

 

Sta niet langer stil bij deze scherven

Ze zeggen niks, ze brengen geen geluk

Laat ze liggen en van mij getuigen

Straks valt ergens anders jouw woord stuk



refr.



Het blijft van jou en mij

Niemand komt er aan

Het blijft van jou en mij

Omdat het door ons is gedaan

Het blijft van jou en mij

En wees niet boos, want

Niemand doet iets goed voor altijd

Niemand doet iets goed voor altijd

 

refr.



En altijd weer vanzelf een nieuw begin",blof
Liefdesbrief,"De vlam blijft altijd branden

De olie raakt nooit op

In de lamp hier op mijn tafel

Die licht werpt op mijn handen

En het lege vel papier

Lees goed wat ik je schrijf

Want ik kan het maar een keer

Ik heb de kracht niet meer

Maar de vlam blijft altijd branden



Ik schrijf je dit omdat ik wil dat je me naam weet

En dat je weet van mijn gevoel

En dat je weet wie ik ben

Omdat ik wouw dat ik een ander was

Omdat ik wouw dat ik bestond, 

bestond voor jou



De vlam blijft altijd branden 

Maar het boek moet ooit eens dicht

En de lamp hier op mijn tafel

Verwarmt mijn stramme handen

En zet de pen op het papier

Ik weet wat ik je schrijf

Een liefdesbrief uit wanhoop

Jij moet uit mijn lijf

Maar de vlam blijft altijd branden



Ik schrijf je dit

Omdat ik wil dat je mijn naam weet

En weet van mijn gevoel

En dat je weet wie ik ben

Omdat ik wouw dat ik een ander was

Omdat ik wouw dat ik bestond,

bestond voor jou



Voor altijd de jouwe",blof
Een manier om thuis te komen,"Ik bouwde bruggen van steen

maar zonder water.

Ik reisde overal heen

veel verder dan ik kon.

Totdat ik opnieuw begon

en mijn bergen overwon

Niet moedig en niet bang

zag ik hoe je bij me kwam.



(refrein)

En de grond kust zacht je voeten.

Zij is met je, elke stap.

En elke dag zal ze vertrouwd zijn.

Ze zal je dragen.

Want de grond kust zacht je voeten.

Zij is hier en in je dromen.

Is ze als je wilt altijd.

Een manier om thuis te komen.



Je hoeft de diepte niet in

om de wereld te begrijpen

Maar klim zo hoog als je kan en 

overzie het dan,er valt zoveel te kijken

Ik zal je geven wat ik kan

Wees maar moedig,wees maar bang

En als de deur achter je dichtvalt

dan voel ik je mond nog op m'n wang



(refrein)

En de grond kust zacht je voeten.

Zij is met je elke stap.

En elke dag zal ze vertrouwd zijn.

Ze zal je dragen.

Want de grond kust zacht je voeten.

Zij is hier en in je dromen.

Is ze als je wilt altijd.

Een manier om thuis te komen.",blof
Ze is er niet,"Zeven nachten lang 

En niets van wat ik doe voelt goed 

Zeven nachten zoeken 

Maar er is niets dan er echt toe doet 

Alle mooie woorden 

Al mijn woorden in jouw oor 

Die niemand, ik zeg niemand 

Eerder van me heeft gehoord 

Veel te veel beloften 

Heb ik naast me neergelegd 

Wat nou ? 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

 

Zeven nachten lang 

En alles wat ik zie staat scheef 

Zeven nachten zuipen 

En ik hoopte dat ik dronken bleef 

Maar steeds word ik weer nuchter 

En steeds weet ik weer waar ik ben 

Ik wil wel weg, maar ik kan niet weg 

Hoewel ik echt de weg wel ken 

Bij iedere kroeg die sluit 

Ga ik steevast onderuit 

Om jou 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Op zoek naar jou 

Op zoek naar jou 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Op zoek naar jou 

Op zoek naar jou",blof
Aanzoek Zonder Ringen,"Het ging anders dan we dachten

Wie verwacht er ook dat alles blijft, zoals het is

Maar nooit hetzelfde aanvoelt het is een kwestie van het zonlicht

En een kwestie van gewicht van de dingen die we doen

En ook de dingen die we zien

In alle landen waar we wonen

En de dochters en de zonen elke ochtend naast het bed



Ik wacht hier op jou

Ook als je naast me ligt,

je gezicht opnieuw het mooiste blijkt te zijn

Dit is een aanzoek zonder ringen

En ik vraag niet om je hand maar om je vingers die me wijzen op mezelf



Het ging sneller dan we dachten

Wie verwacht er ook dat alles ooit zo groot kan zijn

Dat het hoger gaat dan bergen en harder dan orkanen

Dat de oceaan ondiep lijkt bij het gat dat in kan slaan



Ik wacht hier op jou

Ook als je naast me ligt,

je gezicht opnieuw het mooiste blijkt te zijn

Dit is een aanzoek zonder ringen

En ik vraag niet om je hand maar om je vingers die me wijzen op mezelf



We verwachten niets maar toch



Wist je waar het uit zou komen

Dat je niets voor lief kan nemen

Dat het vreemder is dan dromen

Ook al gaat het zo vanzelf

 

Ik wacht hier op jou

Ook als je naast me ligt,

je gezicht opnieuw het mooiste blijkt te zijn

Dit is een aanzoek zonder ringen

En ik vraag niet om je hand maar om je vingers die me wijzen op mezelf



Ik wacht hier op jou 



Dit is een aanzoek zonder ringen

En ik vraag niet om je hand maar om je vingers



Dit is een aanzoek zonder ringen",blof
Een naam & een gezicht,"Soms lieg je niet

Uit kwaadheid of uit haat

Maar wie de waarheid zegt

Valt door de mand, vroeg of laat

Dus aarzel je en zwijg je half

Om me te sparen voor de pijn

Een woord is maar een woord

En meer hoeft het niet te zijn



Maar jij bent net als ik

Je hebt alleen een naam en een gezicht

Dat is genoeg voor mij

We zijn alleen een naam en een gezicht



Soms spreek je tegen

Waarvan je bijna zeker bent

Maar wie de waarheid zegt

Gaat onderuit, en wie bekent

Valt voor hetzelfde geld

En breekt zomaar weer zijn woord

Een zin is maar een zin

Ook als iedereen het hoort



Maar jij bent net als ik

Je hebt alleen een naam en een gezicht

Dat is genoeg voor mij

We zijn alleen een naam en een gezicht



Maar jij bent net als ik

Je hebt alleen een naam en een gezicht

We zijn hetzelfde anders

We zijn alleen een naam en een gezicht

Jij bent net als ik

Je hebt alleen een naam en een gezicht

Dat is genoeg voor mij

Alleen een naam en een gezicht",blof
Aan de kust,"De zoute zee slaakt een diepe zilte zucht

Boven het vlakke land trilt stil de warme lucht

He, iemand slaat soms onverwacht maar zeker op de vlucht

Alarmfase Twee is hier nauwelijks nog berucht

Maar men weet het niet

En zwijgt van wat men hoort en ziet



Hier aan de kust, de Zeeuwse kust

Waar de mensen onbewust

Zin in mosselfeesten krijgen

En van eten slechts nog zwijgen

Als ze zat zijn en voldaan

Dan weer rustig slapen gaan



Hier aan de kust, de Zeeuwse kust

Waar eenieder onbewust

In het Duits wordt aangesproken

Waar de ketting is gebroken

En alle schepen zijn verbrand

Maar er is niets aan de hand



Vlissingen ademt zwaar en moedeloos vannacht

De haven is verlaten, want er is nog maar een vracht

En die moet in het donder buitengaats worden gebracht

Gedenk de goede tijden van zuiverheid en kracht

Maar men weet het niet

En zwijgt van wat men hoort en ziet



Hier aan de kust, de Zeeuwse kust

Waar de zomer onbewust met een rotgang wordt genoten

En waar wild en onverdroten

Iedereen zijn gang kan gaan

Tot men zat is en voldaan



Hier aan de kust, de Zeeuwse kust

Waar de liefde van de lust

Steeds maar weer zal gaan verliezen

Omdat ze nooit kan kiezen

Tussen goed en niet zo kwaad

Maar dat is zoals het gaat



Hier aan de kust",blof
Later Als Ik Groter Ben,"Ik was er uit, het kwartje gevallen

De klap wiekte nog na

Maar ik wist wie ik zou worden



Ik liet ze los, de koude getallen

Ze wezen me nog na

Maar ik volgde niet de borden



Later als ik groter ben, blijf ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)

Later als ik mij herken, weet ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)



Het zat er in, maar het wilde niet komen

Het wachten op de dag

Ik wist dat ik het niet kon dwingen



Ik raakte aan, waarover ik droomde

Ik wist niet wat ik zag

Tot ik begreep dat ik moest zingen



Later als ik groter ben, blijf ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)

Later als ik mij herken, weet ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)



Ik ben alleen hoe kan het ook anders, ik weet nog wat ik zocht

Het is nu later

En om me heen, is alles veranderd

Maar ik ken die jongen nog



Het is nu later (oh oh oh oh)

Het is nu later (oh oh oh oh)

Het is nu later (oh oh oh oh)

Het is nu later (oh oh oh oh)

Het is nu later (oh oh oh oh)



Later als ik groter ben, blijf ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)

Later als ik mij herken, weet ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)



Later als ik groter ben, blijf ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)

Later als ik mij herken, weet ik wie ik ben (oh oh oh oh oh oh, oh oh oh oh oh oh)",blof
Taxi voor mijn ogen,"Opeens ben je de weg kwijt

Draaien met de kaart maar niets wat je herkent

Een jungle heeft geen paden

En je zult vallen als je rent 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En daarmee verder terug 



En waar is dan het kruispunt?

Leuren met je ziel en denken aan verkopen

Is een luxe, niet een zonde

En een leven moet verlopen 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En daarmee verder terug 



Op de tast

Op wat je welbeschouwd

Geen naam kunt geven

En pas gerust

Bij wat je niet benauwt

Maar vrij laat leven 



Alles uit je handen

Gooi maar weg, leg maar neer

Want vogels die verbranden

Vliegen meestal nog een keer 



Terug

Je wilt terug

Naar een plek waar je nooit bent geweest

Terug naar de wereld

En dan weer verder",blof
Lopen tpt de zon opkomt,"Kijk naar buiten door het raam

Zie me staan hier in de sneeuw

Ik ben gekomen om te lachen

om de blunder van de eeuw

Laat je man maar rustig slapen

Dan hebben wij even de tijd

Blijf maar warm bij het raam staan 

Ik wil alleen even wat kwijt

Of eigenlijk wil ik wat weten.



Heb je nu alles wat je wou 

Werd je wakker met een glimlach

Zegt hij vaak ik hou van jou



Houd ie je vast als je soms bang bent

Kent ie je angst en je verdriet

Alleen maar schudden met hoofd, lief

Logisch dat je me verliet



Ik ga weg

Ik ga lopen

Ik ga lopen tot de zon komt

Ik ga weg

Tot de zon me achterhaalt,

Lopen tot de zon komt, 

En tot ie straalt.



Blijf maar binnen 

Het is goed zo 

Ik wou je zien als laatste keer 

Wat we samen vroeger droomden weet de helft van ons niet meer. 

Ik hoop dat je gelukkig word

Ik hoop dat ik me niet vergis 

Ik hoop dat ik gelukkig word, nu ik zie wat ik zo mis 



Houd ie je vast soms als je bang bent

Kent ie je angst en je verdriet

Alleen maar schudden met je hoofd, lief

Logisch dat je me verliet 



Ik ga lopen tot de zon komt

Tot de zon me achterhaalt 

Lopen tot de zon komt

Tot ie straalt",blof
Dan Breekt De Hel Los,"Wie durft te dansen

Op de rand van 't ravijn?

Wat speelt zich af

In het donker van 't brein

Onheil sleurt je mee

Over alle grenzen heen

Een fataal verbond

Maar in chaos is iedereen alleen



Dan breekt de hel los!

De hel los

Dan breekt de hel los!

Breekt de hel los



Vriendschap door 't lot

Een pact met het kwaad

In geval van waanzin

Komt iedereen te laat

Hoor de schreeuw

In de duisternis

Wie vindt compassie

In de kracht van verdoemenis?



Dan breekt de hel los!

De hel los

Dan breekt de hel los!

Breekt de hel los



Dan breekt de hel los!

Wint pijn van 't verstand

Ontstaat de chaos

Dan breekt de hel los!

Ontstaat de chaos",blof
Vandaag,"Hier is de lijst met dingen

Die je nog had willen doen

Hier is de schoenendoos

Met 1 miljoen herinneringen

Aan wat we deden

En wie we zijn geweest

En wie we nu zijn

Dat zit er ook in...



Als je denken wilt aan vroeger

Dat is okee

Maar niet te vaak

Denk liever aan vandaag



Hier is je koffer

Met schone kleren en een pak

Hier is het tasje

Met tandpasta en aftershave

En wat we deden 

En wie we zijn geweest

En wie we nu zijn

Dat zit er ook in...



En als je denken wilt aan vroeger

Dat is okee

Maar niet te vaak

Denk liever aan vandaag.

Denk liever aan vandaag.

Liever aan vandaag

Hey alles is goed

En niemand blijft alleen

Hey het is mooi zo

Hier ging het heen

We zien je nog graag...



Hier is een wekker

Voor als je eens de tijd niet weet

En een kompas 

Voor als je echt een keer naar huis toe wilt

Wat we deden

En wie we zijn geweest

En wie we worden

Dat zal blijken vroeg of laat



Als je denken  wilt 

Aan wat had kunnen zijn

Dat is okee

Maar denk liever aan vandaag

Denk liever aan vandaag.

Denk liever aan vandaag.

Denk liever aan vandaag.",blof
Wat een leven,"Zonder iets te zeggen 

Maar met een groot gevoel 

Trek ik de deur dicht achter mijn gedachten 

Zonder iets te hopen 

Laat ik de boel de boel 

Laat voortaan alles op me wachten 

 

De klok verslikt zich in mijn ritme 

Het ritme van mijn hart is wild en uit de maat 

 

Wat een leven, wat een leven! 

En wat ermee te doen? 

Het voelt als wachten op een wonder 

Wat een leven, wat een leven! 

 

Is het blof dat ik je zoen? 

Of kan ik gewoon niet langer zonder? 

 

Soms zijn we vreemden 

Soms ook geliefden van elkaar 

 

Zonder mooie woorden 

Maar met een groot gevoel 

Lach je me toe en je neemt mijn lot in handen 

En zonder na te denken 

Weet jij wat ik bedoel 

Ik voel het heilig vuur spontaan ontbranden 

 

De klok verslikt zich in mijn ritme 

Het ritme van mijn hart is wild en uit de maat 

 

Wat een leven, wat een leven! 

En wat ermee te doen? 

Het voelt als wachten op een wonder 

Wat een leven, wat een leven! 

Is het blof dat ik je zoen? 

Of kan ik gewoon niet langer zonder? 

 

Soms zijn we vreemden 

Soms ook geliefden van elkaar 

 

Wat een leven, wat een leven! 

En wat ermee te doen? 

Het voelt als wachten op een wonder 

Wat een leven, wat een leven! 

Is het blof dat ik je zoen? 

Of kan ik gewoon niet langer zonder? 

 

Soms zijn we vreemden 

Soms ook geliefden van elkaar",blof
Altijd vanavond,"Een beweging, een ogenblik 

we zijn hier samen, jij en ik 

In mijn kop knippert een lichtje aan en uit 

Als in een stomme film, 

dus enkel beeld en geen geluid 

 

Mijn hersens niet mijn herder 

Is dit mijn hand, telkens ietsje verder? 

 

Die hand beweegt, maar ligt noch stil 

En ik weet niet wat ik ermee wil 

Wil ik je strelen, of liever een glas? 

Om vast te houden aan wie ik was 

 

Mijn hersens niet mijn merder 

Is dit jouw hand, telkens ietsje verder? 

 

Ik voel het nu 

Ik raak de wereld aan 

Ik voel het nu 

Het is nooit gedaan 

Altijd vanavond 

Onder de hemel 

Altijd vanavond 

Onder de hemel 

 

M""n ogen open, m'n ogen dicht 

Zo is het donker, zo is het licht 

De wereld draait, draait om een spil 

Alles beweegt, alles staat stil 

 

Mijn hersens niet mijn herder 

Is dit mijn hand, telkens ietsje verder? 

 

Ik voel het nu 

Ik raak de wereld aan 

Ik voel het nu 

Het is nooit gedaan 

Altijd vanavond 

Onder de hemel 

Altijd vanavond 

Onder de hemel 

 

Mijn hersens niet mijn herder 

Is dit mijn hand, telkens ietsje verder? 

 

Ik voel het nu 

Ik raak de wereld aan 

Ik voel het nu 

Het is nooit gedaan 

Altijd vanavond 

Onder de hemel 

Altijd vanavond 

Onder de hemel",blof
Omarm me,"Hoever je gaat

Heeft met afstand niks te maken

Hoogstens met de tijd

En ik weet niet hoe 't komt dat ik weg wil

Maar 't treft me hard en zuiver en het houdt hardnekkig stand

Dus hier sta ik met een uitgestoken hand



Lief, ga dan mee

En omarm me

Omarm me, omarm me



Lief, ga dan mee

En omarm me

Omarm me, omarm me

En breng me nergens heen



Hoe diep je gaat

Heeft met denken niets te maken

Hoogstens met een wil

En 't voelt alsof ik weet waar ik heenga

En het leidt me in het donker en het spot met mijn verstand

Hier sta ik met een uitgestoken hand



Lief, ga dan mee

En omarm me

Omarm me, omarm me



Lief, ga dan mee

En omarm me

Omarm me, omarm me

En breng me nergens heen



Als het daar beter is, dan is het je gegund, oh yeah

En nee ik had nooit gedacht, dat het kwam tot dit punt

Baby, ben ik 't nog? (yeah yeah)

Geef het niet op (yeah yeah)

Hou me vast, laat me niet los



Lief, ga dan mee (yeah yeah)

Omarm m'n lijf en leden (oh)

Omarm m'n waanideeën

Omarm me, omarm me (oeh-oh)



Lief, ga dan mee

Omarm heel mijn verleden

Omarm m'n zeven zeeën

Omarm me, omarm me

En breng me nergens heen",blof
Laatste ronde,"Ik hang aan het biljart 

van deze donkerbruine kroeg 

En langzaam wordt het licht, 

is het nog laat of alweer vroeg? 

Het is stil op straat, 

de barman spoelt de glazen om 

En jij drinkt nog een bier, 

en ik zie al het rechte krom 

 

Laatste ronde, laatste ronde 

Vanavond heb ik niets gevonden 

Laatste ronde, laatste ronde 

Gewogen maar te licht bevonden 

 

Nog een keer naar 't toilet, 

ik stommel zat het trapje af 

Ik zat nergens mee, 

totdat de stemming het begaf 

Het wordt niets tussen ons, 

dat heb ik inmiddels wel gemerkt 

Dus ik heb me flink gelaafd, 

zo de teleurstelling verwerkt 

 

Laatste ronde, laatste ronde 

Vanavond heb ik niets gevonden 

Laatste ronde, laatste ronde 

Gewogen maar te licht bevonden 

 

Ik hang aan het biljart 

van deze donkerbruine kroeg 

En langzaam wordt het licht, 

is het nog laat of alweer vroeg? 

 

Laatste ronde, laatste ronde 

Vanavond heb ik niets gevonden 

Laatste ronde, allerlaatste ronde 

Gewogen maar te licht bevonden 

 

Laatste ronde",blof
Dichterbij dan ooit,"hier ben je dan 

en je vertrekt weer

kom terug maar het kan niet meer

want je ben dichter bij dan ooit

het is vreemd je bent nu weg

waarheen weet niemand maar diep in mij hart ben je dichterbij dan ooit



refrein:

je bent dichterbij dan ooit tevoren

nu ben je weg

waarheen is een vraag

je bent dichterbij dan ooit

we wachten op je maar je komt niet meer

het lijkt of je dichterbij dan ooit bent maar je ben juist ver weg



we missen je en zullen dat ook blijven doen

terug komen zal je niet doen

dat blijkt wel

je bent zo ver weg

alleen het lijkt of

je zo dichtbij bent

als je maar weet dat we van je houden



refrein 1 keer



je bent weg

waarom?

die vraag 

zal altijd in mijn hoofd blijven

elk moment

elke dag

elke maand 

elke jaar 

elke 10 jaar

je komt nooit meer terug want ........



refrein 2 keer",blof
Twee koude handen,"Elke trage dag 

Een heilig medicijn 

Ik ben niet ziek 

Ik voel alleen een beetje pijn 

Maar elke zwarte nacht 

Een beker vol venijn 

Ik ben niet ziek 

Maar ik had beter kunnen zijn 

Twee koude handen op mijn lijf 

Niet eens van jou, ze zijn van mij 

Twee koude handen op mijn lijf 

Ik voel ze branden 

Elke trage dag 

Een pil tegen de pijn 

Ik ben niet ziek 

En ik wil het ook niet zijn 

Maar elke zwarte nacht 

Een giftig medicijn 

Ik ben niet ziek 

Maar ik had beter moeten zijn 

Twee koude handen 

Twee koude handen op mijn lijf 

Niet eens van jou, ze zijn van mij 

Twee koude handen op mijn lijf 

Ik voel ze branden",blof
Laten we gaan dan,"Op het terras van de welvaart 

Staat iets vreemds op de menukaart 

Dat je bodemloos kunt drinken 

Omdat je dieper niet meer kan 

Dan de kelder vol van wijn 

Waar we allemaal al zijn 

 

Laten we gaan dan, jij en ik 

Als de avond uitgestrekt 

tegen de hemel ligt 

Laten we gaan dan, jij en ik 

Tot je lichaam uitgestrekt 

tegen het mijne ligt 

 

Op het terras van de welvaart 

Staat geen drank op de menukaart 

Want er wordt alleen geschonken 

Uit steeds dezelfde kan 

In de gloed van donker licht drink je met je ogen dicht 

 

Laten we gaan dan, jij en ik 

Als de avond uitgestrekt 

tegen de hemel ligt 

Laten we gaan dan, jij en ik 

Tot je lichaam uitgestrekt 

tegen het mijne ligt 

 

Weet je alles geeft de geest 

Maar de wijn nog wel het meest 

Aan het einde van het feest 

Zijn we er allemaal geweest 

 

Laten we gaan dan, jij en ik 

Als de avond uitgestrekt 

tegen de hemel ligt 

Laten we gaan dan, jij en ik 

Tot je lichaam uitgestrekt 

tegen het mijne ligt 

 

Laten we gaan dan ...",blof
Als dit alles is,"Hoeveel wegen al die honderden beloften dan, die ik al heb gedaan?

Ik kan mij niet meer herinneren aan wie en waar en welke ik gebroken heb 

en welke ik kon houden.



Het is nooit genoeg

Het is teveel om op te noemen wat je goed wilt doen en alles komt te vroeg

Het is nooit genoeg

Maar het moet toch zo gebeuren want het opent soms de deuren naar de man die ik ben.

De man die ik was.

De man die ik zal zijn als dit alles over is. 



Hoeveel wegen kan ik afgaan voor ik val voor jou, hoever kan ik nog weg?

Is het wel de moeite waard als ik een eed af leg en zo mezelf weer vast leg

door me vrij te houden.



Het is nooit genoeg

Het is teveel om op te noemen wat je goed wilt doen en alles komt te vroeg

Het is nooit genoeg

Maar het moet toch zo gebeuren want het opent soms de deuren naar de man die ik ben.

De man die ik was.

De man die ik zal zijn als dit alles over is. 



En man een man.

Een woord een woord.

Waar het om gaat is wie het hoort. 



De man die ik ben, 

de man die ik was, 

de man die ik zal zijn als dit alles over is. 



De man die ik ben, 

de man die ik was, 

de man die ik zal zijn als dit alles over is.",blof
Midzomernacht,"Ik kijk verder 

nu de dag weer korter wordt.

Ik ben vrijer, 

al kom ik steeds meer tijd tekort.

Ik ben milder,

ik ben kalmer bovendien

Terwijl jij schildert met je woorden 

en me weer iets nieuws laat zien.



Je bent mooier 

dan ik jou ooit heb gezien.

Je bent prachtig,

je bent meer dan ik verdien.

Je bent verder 

dan ik ooit zou kunnen zijn.

Je bent moediger dan ik 

want je denkt nooit aan een eind.



Ik kijk verder

naar de zee die voor ons ligt

Ik voel beter dat ik vrij ben 

en dus nooit tot iets verplicht.

Ik ga veel verder, veel verder, veel verder 

dan ik ooit heb durven doen.

En ik raak niet meer in paniek 

want er is altijd weer die zoen.



Je bent mooier 

dan ik jou ooit heb gezien.

Je bent prachtig, 

je bent meer dan ik verdien

Je komt dicht bij de volmaaktheid 

die ik altijd heb ontkent.

Je bent moediger dan ik,

gewoon omdat je bij me bent.



Je bent mooier 

dan ik jou ooit heb gezien.

Je bent prachtig,

je bent veel meer dan ik verdien.

Je bent veel verder, veel verder, veel verder 

dan ik ooit zou kunnen zijn.

Je bent moediger dan ik, 

want je denkt nooit aan een eind.",blof
Oktober,"Oktober overvalt ons ieder jaar.

We kijken naar elkaar, na een overvolle zomer.

En we zijn alweer veranderd, maar het voelt niet meer vertrouwt.

Nu we plotseling beseffen, dat wij onszelf niet zijn. 



In oktober.



Oktober is de wreedste maand, oktober.

Met de dingen die voorbij gaan.

Maar wel ergens blijven hangen.

Ze komen steeds weer bij ons terug. 



Ergens in oktober.



Oktober overvalt ons ieder jaar.

We blijven bij elkaar na een veel te korte zomer.

En we zijn alweer veranderd, niet ten goede of ten kwaade.

Maar veranderd niettemin.



In oktober.



Oktober is de wreedste maand, oktober 

Met de dingen die voorbij gaan. 

Maar wel ergens blijven hangen 

Ze komen steeds weer bij ons terug.

En meestal in oktober.

Meestal in oktober.",blof
Schilder me rood,"Misverstanden zijn er niet vannacht

Ik weet dat het lekker is

Schepen branden beter dan je dacht

Ik weet dat het lekker is



Kun je zingen zing dan

Wil je springen spring dan

Doe geen dingen in je hoofd



Mijn verleden breng je naar de grens

Ik weet dat het lekker is

Overschreden jij bent ook maar mens

Ik weet dat het lekker is



Kun je zingen zing dan

Wil je springen spring dan

Doe geen dingen in je hoofd



Spijt heb je morgen maar

Spijt heb je morgen maar

Tijd genoeg en zorgen heb je toch

Spijt heb je morgen maar



Schepen branden beter dan je dacht

Ik weet dat het lekker is



Kun je zingen zing dan

Wil je springen spring dan

Doe geen dingen in je hoofd

Spijt heb je morgen maar

Spijt heb je morgen maar

Tijd genoeg en zorgen heb je toch



Spijt heb je morgen maar

Spijt heb je morgen maar

Spijt heb je morgen maar

Tijd genoeg en zorgen heb je toch



Ik weet dat het lekker is",blof
Zeven nachten,"Zeven nachten lang 

En niets van wat ik doe voelt goed 

Zeven nachten zoeken 

Maar er is niets dan er echt toe doet 

Alle mooie woorden 

Al mijn woorden in jouw oor 

Die niemand, ik zeg niemand 

Eerder van me heeft gehoord 

Veel te veel beloften 

Heb ik naast me neergelegd 

Wat nou ? 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

 

Zeven nachten lang 

En alles wat ik zie staat scheef 

Zeven nachten zuipen 

En ik hoopte dat ik dronken bleef 

Maar steeds word ik weer nuchter 

En steeds weet ik weer waar ik ben 

Ik wil wel weg, maar ik kan niet weg 

Hoewel ik echt de weg wel ken 

Bij iedere kroeg die sluit 

Ga ik steevast onderuit 

Om jou 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Op zoek naar jou 

Op zoek naar jou 

 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Zeven nachten onderweg 

Zeven nachten lang op zoek naar jou 

Op zoek naar jou 

Op zoek naar jou",blof
